,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
14251,Neu-Ulm,Neu-Ulm,48.3833,10.0,Germany,DE,DEU,Bayern,minor,59814.0,1276071813
14253,Greifswald,Greifswald,54.0833,13.3833,Germany,DE,DEU,Mecklenburg-Vorpommern,minor,59382.0,1276867765
14359,Unna,Unna,51.5347,7.6889,Germany,DE,DEU,Nordrhein-Westfalen,minor,58911.0,1276028114
14402,Euskirchen,Euskirchen,50.6597,6.7917,Germany,DE,DEU,Nordrhein-Westfalen,minor,58754.0,1276782162
14422,Göppingen,Goppingen,48.7025,9.6528,Germany,DE,DEU,Baden-Württemberg,minor,58061.0,1276730715
14529,Hameln,Hameln,52.1,9.3667,Germany,DE,DEU,Niedersachsen,minor,57510.0,1276101153
14562,Meerbusch,Meerbusch,51.2667,6.6667,Germany,DE,DEU,Nordrhein-Westfalen,,56855.0,1276882223
14596,Görlitz,Gorlitz,51.1528,14.9872,Germany,DE,DEU,Sachsen,minor,56563.0,1276000121
14598,Frankfurt (Oder),Frankfurt (Oder),52.3419,14.5517,Germany,DE,DEU,Brandenburg,minor,57015.0,1276397323
14601,Sankt Augustin,Sankt Augustin,50.77,7.1867,Germany,DE,DEU,Nordrhein-Westfalen,,55767.0,1276196312
14606,Stolberg,Stolberg,50.7667,6.2333,Germany,DE,DEU,Nordrhein-Westfalen,,56792.0,1276202704
14632,Eschweiler,Eschweiler,50.8167,6.2833,Germany,DE,DEU,Nordrhein-Westfalen,,56385.0,1276835632
14645,Langenhagen,Langenhagen,52.4394,9.74,Germany,DE,DEU,Niedersachsen,,56288.0,1276031765
14671,Waiblingen,Waiblingen,48.8303,9.3169,Germany,DE,DEU,Baden-Württemberg,minor,55526.0,1276678986
14766,Baden-Baden,Baden-Baden,48.7628,8.2408,Germany,DE,DEU,Baden-Württemberg,minor,55527.0,1276150269
14768,Lingen,Lingen,52.5231,7.3231,Germany,DE,DEU,Niedersachsen,,55599.0,1276978218
14817,Pulheim,Pulheim,51.0,6.8,Germany,DE,DEU,Nordrhein-Westfalen,,54805.0,1276728926
14821,Schweinfurt,Schweinfurt,50.05,10.2333,Germany,DE,DEU,Bayern,,54032.0,1276316912
14851,Hattingen,Hattingen,51.3992,7.1858,Germany,DE,DEU,Nordrhein-Westfalen,,54562.0,1276698647
14852,Bad Homburg,Bad Homburg,50.2167,8.6,Germany,DE,DEU,Hessen,minor,54248.0,1276019348
14927,Bad Salzuflen,Bad Salzuflen,52.0833,8.7467,Germany,DE,DEU,Nordrhein-Westfalen,,54127.0,1276526163
14944,Nordhorn,Nordhorn,52.4319,7.0678,Germany,DE,DEU,Niedersachsen,minor,54162.0,1276078036
15017,Neustadt,Neustadt,49.35,8.15,Germany,DE,DEU,Rheinland-Pfalz,minor,53491.0,1276053769
15034,Passau,Passau,48.5744,13.4647,Germany,DE,DEU,Bayern,minor,53093.0,1276123699
15058,Wetzlar,Wetzlar,50.5667,8.5,Germany,DE,DEU,Hessen,minor,52969.0,1276020868
15062,Frechen,Frechen,50.9167,6.8167,Germany,DE,DEU,Nordrhein-Westfalen,,52473.0,1276255319
15131,Ahlen,Ahlen,51.7633,7.8911,Germany,DE,DEU,Nordrhein-Westfalen,,52627.0,1276843072
15134,Kleve,Kleve,51.79,6.14,Germany,DE,DEU,Nordrhein-Westfalen,minor,52470.0,1276674243
15160,Wolfenbüttel,Wolfenbuttel,52.1622,10.5369,Germany,DE,DEU,Niedersachsen,minor,52174.0,1276388010
15192,Bad Kreuznach,Bad Kreuznach,49.85,7.8667,Germany,DE,DEU,Rheinland-Pfalz,minor,51695.0,1276733459
15222,Ibbenbüren,Ibbenburen,52.2778,7.7167,Germany,DE,DEU,Nordrhein-Westfalen,,51904.0,1276476330
15299,Böblingen,Boblingen,48.6856,9.0153,Germany,DE,DEU,Baden-Württemberg,minor,50470.0,1276001231
15301,Speyer,Speyer,49.3194,8.4311,Germany,DE,DEU,Rheinland-Pfalz,minor,50565.0,1276684984
15309,Gummersbach,Gummersbach,51.0333,7.5667,Germany,DE,DEU,Nordrhein-Westfalen,minor,51126.0,1276576027
15342,Ravensburg,Ravensburg,47.7831,9.6114,Germany,DE,DEU,Baden-Württemberg,minor,50928.0,1276088263
15355,Willich,Willich,51.2631,6.5492,Germany,DE,DEU,Nordrhein-Westfalen,,50592.0,1276849706
15361,Rastatt,Rastatt,48.85,8.2,Germany,DE,DEU,Baden-Württemberg,minor,50441.0,1276684629
15395,Goslar,Goslar,51.9072,10.43,Germany,DE,DEU,Niedersachsen,minor,50753.0,1276608610
15421,Peine,Peine,52.3203,10.2336,Germany,DE,DEU,Niedersachsen,minor,50461.0,1276331439
15466,Lörrach,Lorrach,47.6167,7.6667,Germany,DE,DEU,Baden-Württemberg,minor,49347.0,1276104619
15491,Emden,Emden,53.3669,7.2061,Germany,DE,DEU,Niedersachsen,minor,49913.0,1276309938
15509,Erftstadt,Erftstadt,50.8167,6.7667,Germany,DE,DEU,Nordrhein-Westfalen,,49801.0,1276479094
15556,Heidenheim,Heidenheim,48.6761,10.1544,Germany,DE,DEU,Baden-Württemberg,minor,49526.0,1276168895
15562,Leonberg,Leonberg,48.8014,9.0131,Germany,DE,DEU,Baden-Württemberg,,48931.0,1276002040
15570,Frankenthal,Frankenthal,49.5333,8.35,Germany,DE,DEU,Rheinland-Pfalz,minor,48773.0,1276888667
15578,Bergkamen,Bergkamen,51.6167,7.6333,Germany,DE,DEU,Nordrhein-Westfalen,,48725.0,1276603807
15601,Gronau,Gronau,52.2125,7.0417,Germany,DE,DEU,Nordrhein-Westfalen,,49031.0,1276262054
15611,Bad Oeynhausen,Bad Oeynhausen,52.2,8.8,Germany,DE,DEU,Nordrhein-Westfalen,,48803.0,1276503412
15658,Rheda-Wiedenbrück,Rheda-Wiedenbruck,51.8417,8.3,Germany,DE,DEU,Nordrhein-Westfalen,,48714.0,1276045371
15672,Freising,Freising,48.4028,11.7489,Germany,DE,DEU,Bayern,minor,48634.0,1276519005
15673,Alsdorf,Alsdorf,50.8833,6.1667,Germany,DE,DEU,Nordrhein-Westfalen,,47678.0,1276261156
15684,Dachau,Dachau,48.2603,11.4342,Germany,DE,DEU,Bayern,minor,47738.0,1276549079
15699,Bornheim,Bornheim,50.7592,7.005,Germany,DE,DEU,Nordrhein-Westfalen,,48435.0,1276585020
15740,Cuxhaven,Cuxhaven,53.8611,8.6944,Germany,DE,DEU,Niedersachsen,minor,48356.0,1276511789
15755,Straubing,Straubing,48.8833,12.5667,Germany,DE,DEU,Bayern,minor,47854.0,1276278805
15771,Soest,Soest,51.5711,8.1092,Germany,DE,DEU,Nordrhein-Westfalen,minor,47929.0,1276851034
15844,Stade,Stade,53.6008,9.4764,Germany,DE,DEU,Niedersachsen,minor,47579.0,1276472720
15873,Hennef,Hennef,50.7833,7.2833,Germany,DE,DEU,Nordrhein-Westfalen,,47400.0,1276962178
15882,Herzogenrath,Herzogenrath,50.8667,6.1,Germany,DE,DEU,Nordrhein-Westfalen,,46402.0,1276873875
15893,Oberursel,Oberursel,50.2033,8.5769,Germany,DE,DEU,Hessen,,46660.0,1276288354
15920,Landau,Landau,49.2,8.1167,Germany,DE,DEU,Rheinland-Pfalz,minor,46919.0,1276000837
15955,Fellbach,Fellbach,48.8086,9.2758,Germany,DE,DEU,Baden-Württemberg,,45671.0,1276083210
15976,Schwerte,Schwerte,51.4458,7.5653,Germany,DE,DEU,Nordrhein-Westfalen,,46340.0,1276720376
15979,Dülmen,Dulmen,51.8308,7.2783,Germany,DE,DEU,Nordrhein-Westfalen,,46877.0,1276703649
15988,Neunkirchen,Neunkirchen,49.35,7.1667,Germany,DE,DEU,Saarland,minor,46469.0,1276274217
16004,Filderstadt,Filderstadt,48.6803,9.2183,Germany,DE,DEU,Baden-Württemberg,,45814.0,1276952389
16018,Melle,Melle,52.2044,8.3389,Germany,DE,DEU,Niedersachsen,,46732.0,1276489872
16033,Oranienburg,Oranienburg,52.7544,13.2369,Germany,DE,DEU,Brandenburg,minor,46555.0,1276677137
