Federal States,Examinations Total,Passed Examinations,Failed Examinations,year,Pass Rate
SN,12772,12380,392,2017-01-01,96.9307860945819
ST,5864,5579,285,2017-01-01,95.13983628922237
SH,14672,14009,663,2017-01-01,95.48118865866958
TH,6750,6608,142,2017-01-01,97.8962962962963
BW,51152,49339,1813,2018-01-01,96.45566155771034
BY,43875,42291,1584,2018-01-01,96.38974358974359
BE,18212,16522,1690,2018-01-01,90.72040412914562
BB,10171,9733,438,2018-01-01,95.69363877691475
HB,2863,2699,164,2018-01-01,94.27174292699965
HH,9596,9218,378,2018-01-01,96.0608586911213
HE,25101,24081,1020,2018-01-01,95.93641687582168
MV,5563,5223,340,2018-01-01,93.88818982563365
NI,33951,32095,1856,2018-01-01,94.53329798827723
NW,85626,82612,3014,2018-01-01,96.48004110900894
RP,17879,17375,504,2018-01-01,97.18105039431735
SL,3645,3533,112,2018-01-01,96.9272976680384
SN,12687,12247,440,2018-01-01,96.5318830298731
ST,6227,5930,297,2018-01-01,95.23044804881965
SH,13591,12909,682,2018-01-01,94.98197336472666
TH,6722,6587,135,2018-01-01,97.99166914608747
BW,48937,47436,1501,2019-01-01,96.9327911396285
BY,43073,41392,1681,2019-01-01,96.0973231490725
BE,15198,14409,789,2019-01-01,94.80852743782077
BB,9803,9332,471,2019-01-01,95.1953483627461
HB,2722,2583,139,2019-01-01,94.89346069066863
HH,9479,9015,464,2019-01-01,95.10496887857369
HE,23108,22232,876,2019-01-01,96.2091050718366
MV,5420,5024,396,2019-01-01,92.69372693726937
NI,34286,32414,1872,2019-01-01,94.54004549962085
NW,84658,81898,2760,2019-01-01,96.7398237614874
RP,17591,17001,590,2019-01-01,96.64601216531182
SL,3336,3211,125,2019-01-01,96.25299760191847
SN,13069,12660,409,2019-01-01,96.87045680618257
ST,5981,5675,306,2019-01-01,94.88379869587025
SH,14044,13296,748,2019-01-01,94.6738820848761
TH,6962,6799,163,2019-01-01,97.6587187589773
BW,45903,44975,928,2020-01-01,97.97834564189705
BY,39144,38104,1040,2020-01-01,97.34314326589003
BE,14371,13866,505,2020-01-01,96.4859787071185
BB,9453,9023,430,2020-01-01,95.4511795197292
HB,2762,2644,118,2020-01-01,95.72773352643013
HH,9326,9077,249,2020-01-01,97.33004503538496
HE,23229,22391,838,2020-01-01,96.3924404838779
MV,5433,5103,330,2020-01-01,93.92600773053562
NI,10471,9884,587,2020-01-01,94.39404068379334
NW,83308,80733,2575,2020-01-01,96.90906035434772
RP,16867,16359,508,2020-01-01,96.9882018141934
SL,3366,3277,89,2020-01-01,97.35591206179441
SN,12935,12536,399,2020-01-01,96.91534596057208
ST,5676,5676,0,2020-01-01,100.0
SH,13061,12446,615,2020-01-01,95.29132531965394
TH,6640,6534,106,2020-01-01,98.40361445783132
BW,43507,42464,1043,2021-01-01,97.60268462546257
BY,40698,39463,1235,2021-01-01,96.96545284780579
BE,14412,13939,473,2021-01-01,96.71801276713849
BB,9801,9361,440,2021-01-01,95.51066217732884
HB,2762,2635,127,2021-01-01,95.40188269370022
HH,9351,9144,207,2021-01-01,97.78633301251203
HE,19475,18835,640,2021-01-01,96.71373555840822
MV,5240,4948,292,2021-01-01,94.42748091603053
NI,30963,30065,898,2021-01-01,97.09976423473178
NW,82046,79618,2428,2021-01-01,97.0406844940643
RP,16867,16359,508,2021-01-01,96.9882018141934
SL,3537,3416,121,2021-01-01,96.57902176986146
SN,12968,12610,358,2021-01-01,97.23935842072795
ST,5580,5361,219,2021-01-01,96.07526881720429
SH,12282,11795,487,2021-01-01,96.03484774466699
TH,6389,6279,110,2021-01-01,98.27829081233371
BW,43507,42464,1043,2022-01-01,97.60268462546257
BY,39715,38463,1252,2022-01-01,96.8475387133325
BE,14644,14128,516,2022-01-01,96.47637257579896
BB,9619,9103,516,2022-01-01,94.63561700800498
HB,2784,2652,132,2022-01-01,95.25862068965517
HH,9210,8936,274,2022-01-01,97.02497285559176
HE,19347,18676,671,2022-01-01,96.53176203028893
MV,5247,4884,363,2022-01-01,93.08176100628931
NI,30456,29125,1331,2022-01-01,95.6297609666404
NW,80525,76909,3616,2022-01-01,95.50946910897237
RP,16231,15499,732,2022-01-01,95.49011151500216
SL,3325,3176,149,2022-01-01,95.5187969924812
SN,13404,12908,496,2022-01-01,96.29961205610266
ST,5643,5362,281,2022-01-01,95.02037923090555
SH,11748,11210,538,2022-01-01,95.42049710589036
TH,6399,6292,107,2022-01-01,98.32786372870761
