Federal States,Grade 1.0,Grade 1.1,Grade 1.2,Grade 1.3,Grade 1.4,Grade 1.5,Grade 1.6,Grade 1.7,Grade 1.8,Grade 1.9,Grade 2.0,Grade 2.1,Grade 2.2,Grade 2.3,Grade 2.4,Grade 2.5,Grade 2.6,Grade 2.7,Grade 2.8,Grade 2.9,Grade 3.0,Grade 3.1,Grade 3.2,Grade 3.3,Grade 3.4,Grade 3.5,Grade 3.6,Grade 3.7,Grade 3.8,Grade 3.9,Grade 4.0,year
Bremen,54,37,43,60,67,75,83,95,90,105,123,124,127,144,143,175,160,180,163,183,159,167,138,159,91,70,43,9,2,0,2,2013-01-01
Hamburg,111,82,116,148,180,210,235,245,322,337,347,414,446,434,424,473,485,502,486,490,437,397,378,301,255,189,99,43,4,0,2,2013-01-01
Hessen,516,351,439,565,655,854,1003,1048,1222,1329,1307,1399,1522,1584,1665,1709,1790,1801,1708,1704,1611,1511,1318,1078,880,624,331,127,26,2,0,2013-01-01
Mecklenburg-Vorpommern,52,33,39,69,70,101,119,103,140,126,160,163,171,179,192,194,176,187,175,151,175,181,159,117,70,37,17,5,1,1,0,2013-01-01
Niedersachsen,210,162,204,350,391,478,591,706,837,1000,992,1139,1326,1482,1621,1692,1797,1862,1987,2113,2042,2022,1893,1750,1362,947,454,155,34,3,0,2013-01-01
Nordrhein-Westfalen,1918,1193,1758,2254,2563,3117,3552,3907,4412,4968,4750,5311,5711,6086,6313,6560,6580,6586,6727,6798,6065,6039,5562,5123,4220,3034,1756,795,192,27,19,2013-01-01
Rheinland-Pfalz,148,127,185,237,256,333,357,442,536,523,578,661,760,841,778,937,971,1041,1089,933,1012,991,888,769,616,520,301,157,36,8,4,2013-01-01
Saarland,44,38,52,55,66,99,91,114,134,125,147,145,184,187,173,193,191,197,225,212,184,165,158,136,101,40,10,4,1,0,0,2013-01-01
Sachsen,97,98,116,154,202,242,253,299,329,411,407,422,394,505,447,493,494,447,473,386,365,342,297,254,165,93,50,19,8,4,4,2013-01-01
Sachsen-Anhalt,59,42,52,72,90,91,108,139,143,158,184,189,213,232,228,219,231,229,246,218,210,234,193,166,101,65,16,5,0,0,0,2013-01-01
Schleswig-Holstein,139,68,101,129,164,189,238,283,358,403,616,445,544,552,618,687,663,716,715,691,822,686,584,484,380,253,158,67,27,7,9,2013-01-01
Thüringen,132,95,145,163,177,225,222,231,284,269,272,294,293,299,289,248,277,219,237,202,154,146,89,83,57,25,9,0,0,0,0,2013-01-01
Baden-Wüttemberg,619,391,547,709,912,1123,1232,1566,1767,2000,2045,2229,2429,2573,2756,2780,2716,2722,2661,2656,2455,2310,2190,1761,1371,1002,524,155,24,3,0,2014-01-01
Bayern,744,465,639,805,942,1237,1406,1558,1762,2049,2043,2227,2362,2314,2521,2457,2292,2302,2227,2045,1733,1509,1286,1016,646,381,192,58,20,1,0,2014-01-01
Berlin,244,173,204,305,317,390,426,494,548,561,656,653,737,751,778,814,855,863,891,757,765,756,636,530,381,250,137,59,17,4,2,2014-01-01
Brandenburg,156,81,145,155,198,198,243,263,292,337,298,331,393,380,365,399,369,398,415,346,343,261,240,169,93,44,15,5,0,0,0,2014-01-01
Bremen,61,38,47,59,71,63,72,76,103,106,132,134,148,151,148,140,164,182,185,160,185,167,146,124,102,57,21,9,2,1,1,2014-01-01
Hamburg,139,75,116,153,188,214,232,280,328,343,403,410,479,456,461,515,480,505,511,461,422,431,378,330,236,166,76,22,4,1,1,2014-01-01
Hessen,412,314,435,552,629,752,875,952,1067,1118,1265,1345,1393,1458,1599,1687,1637,1673,1616,1515,1481,1378,1240,1022,796,503,286,122,22,3,0,2014-01-01
Mecklenburg-Vorpommern,66,59,54,65,85,126,112,137,124,126,148,170,191,187,161,177,196,198,205,207,153,156,144,116,81,43,19,5,1,0,0,2014-01-01
Niedersachsen,253,186,249,343,444,521,593,781,857,1011,1072,1202,1378,1390,1659,1702,1816,1878,2024,2184,1974,2038,1933,1730,1427,980,539,188,33,2,0,2014-01-01
Nordrhein-Westfalen,1221,770,1072,1399,1719,1950,2159,2542,2810,3155,3122,3481,3836,4174,4269,4528,4705,4757,4741,4709,4504,4597,4241,3731,3048,2304,1237,481,107,20,9,2014-01-01
