Bundesland,Schulabschluss,2010 männlich,2010 weiblich,2011 männlich,2011 weiblich,2012 männlich,2012 weiblich,2013 männlich,2013 weiblich,2014 männlich,2014 weiblich,2015 männlich,2015 weiblich,2016 männlich,2016 weiblich,2017 männlich,2017 weiblich,2018 männlich,2018 weiblich,2019 männlich,2019 weiblich,2020 männlich,2020 weiblich,2021 männlich,2021 weiblich
Rheinland-Pfalz,Ohne Hauptschulabschluss,1629,936,1501,968,1448,905,1494,852,1466,891,1642,964,1607,918,1716,1069,1811,1000,1951,1007,1550,910,1730,1030
Rheinland-Pfalz,Hauptschulabschluss,5733,4001,5433,3900,5471,3494,5299,3455,5232,3312,4930,3213,4871,3191,5111,3164,4810,2889,4521,2791,3877,2450,3890,2588
Rheinland-Pfalz,Mittlerer Schulabschluss,9061,9191,9093,8957,9056,9203,9738,9629,9645,9586,9092,9039,8482,8462,8067,8004,8461,8008,7680,7600,7461,7173,7462,7482
Rheinland-Pfalz,Fachhochschulreife,303,410,365,420,424,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinland-Pfalz,Allgemeine Hochschulreife,5878,7810,5936,7832,6113,7834,6386,8006,5998,7628,6420,7793,6987,8713,6651,8379,6591,8202,6458,8277,6276,7896,6159,8098
Saarland,Ohne Hauptschulabschluss,343,223,299,188,327,200,295,214,297,192,281,157,434,228,399,211,426,230,423,214,303,243,336,213
Saarland,Hauptschulabschluss,1618,1246,1548,1171,1618,1135,1541,1133,1438,1129,1352,1020,1291,982,1384,1050,1538,1047,1357,1060,1494,1038,1411,974
Saarland,Mittlerer Schulabschluss,1703,1712,1673,1709,1673,1718,1856,1950,1676,1776,1542,1613,1658,1656,1569,1521,1421,1369,1398,1388,1327,1254,1403,1329
Saarland,Fachhochschulreife,49,55,59,51,72,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saarland,Allgemeine Hochschulreife,1363,1715,1376,1710,1460,1670,1413,1735,1408,1804,1590,1889,1543,1760,1396,1686,1426,1804,1320,1696,1399,1696,1501,1823
Sachsen,Ohne Hauptschulabschluss,1412,929,1396,863,1362,926,1567,1032,1437,911,1412,942,1570,963,1579,987,1660,977,1674,1034,1518,937,1647,1146
Sachsen,Hauptschulabschluss,1533,1006,1734,1089,1630,1082,1780,1168,1852,1216,1671,1129,1728,1070,1821,1137,1874,1050,1970,1154,1845,1069,1804,1060
Sachsen,Mittlerer Schulabschluss,6139,5913,5759,5433,5959,5936,6645,6516,7472,6800,7375,7018,8107,7564,8222,7384,7746,7312,7999,7495,8184,7855,8414,7929
Sachsen,Fachhochschulreife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,Allgemeine Hochschulreife,3287,3937,3020,3654,3122,3697,3389,3960,3738,4463,4299,5018,4373,5245,4754,5578,4537,5582,4819,5581,4589,5576,4598,5586
