latitude,longtitude,country,iso2,Federal States
52.1504,7.3366,Germany,DE,Nordrhein-Westfalen
51.3544,11.9928,Germany,DE,Sachsen-Anhalt
51.3833,7.7667,Germany,DE,Nordrhein-Westfalen
50.0086,8.7756,Germany,DE,Hessen
51.1033,13.67,Germany,DE,Sachsen
50.1781,8.7361,Germany,DE,Hessen
51.5197,6.3325,Germany,DE,Nordrhein-Westfalen
51.6839,6.1619,Germany,DE,Nordrhein-Westfalen
48.8597,9.185,Germany,DE,Baden-Wüttemberg
53.0167,8.75,Germany,DE,Lower SN
52.9647,10.5658,Germany,DE,Lower SN
48.8353,12.9644,Germany,DE,Bayern
53.5833,9.7,Germany,DE,Schleswig-Holstein
53.6747,10.2411,Germany,DE,Schleswig-Holstein
47.5611,7.7917,Germany,DE,Baden-Wüttemberg
51.1833,6.5167,Germany,DE,Nordrhein-Westfalen
48.0981,9.7886,Germany,DE,Baden-Wüttemberg
51.835,10.7853,Germany,DE,Sachsen-Anhalt
51.8,11.7333,Germany,DE,Sachsen-Anhalt
50.9222,6.3583,Germany,DE,Nordrhein-Westfalen
49.5942,8.4671,Germany,DE,Hessen
52.7306,8.2886,Germany,DE,Lower SN
51.1521,11.8098,Germany,DE,Sachsen-Anhalt
49.7197,11.0581,Germany,DE,Bayern
50.3667,8.75,Germany,DE,Hessen
51.4331,14.25,Germany,DE,Sachsen
50.985,12.4333,Germany,DE,Thüringen
51.7667,8.5667,Germany,DE,Nordrhein-Westfalen
52.3667,14.0667,Germany,DE,Brandenburg
53.013,9.033,Germany,DE,Lower SN
53.925,9.5164,Germany,DE,Schleswig-Holstein
52.2031,8.0447,Germany,DE,Lower SN
48.5967,8.8708,Germany,DE,Baden-Wüttemberg
51.6422,7.2508,Germany,DE,Nordrhein-Westfalen
47.7369,8.9697,Germany,DE,Baden-Wüttemberg
50.962,8.0064,Germany,DE,Nordrhein-Westfalen
53.0358,8.5483,Germany,DE,Lower SN
51.5467,6.6006,Germany,DE,Nordrhein-Westfalen
52.4089,7.9728,Germany,DE,Lower SN
52.9222,12.8,Germany,DE,Brandenburg
51.8167,9.8667,Germany,DE,Lower SN
51.5528,7.9139,Germany,DE,Nordrhein-Westfalen
52.0167,11.75,Germany,DE,Sachsen-Anhalt
52.4438,10.0078,Germany,DE,Lower SN
51.3265,7.3559,Germany,DE,Nordrhein-Westfalen
52.9936,8.8733,Germany,DE,Lower SN
53.4375,10.3675,Germany,DE,Schleswig-Holstein
51.1931,7.0131,Germany,DE,Nordrhein-Westfalen
50.8415,7.2166,Germany,DE,Nordrhein-Westfalen
53.2269,8.7947,Germany,DE,Lower SN
47.5947,7.6108,Germany,DE,Baden-Wüttemberg
51.3021,7.3425,Germany,DE,Nordrhein-Westfalen
51.3081,13.2939,Germany,DE,Sachsen
50.1435,8.1606,Germany,DE,Hessen
50.4397,7.4017,Germany,DE,Rheinland-Pfalz
51.3503,8.2836,Germany,DE,Nordrhein-Westfalen
53.0631,14.2831,Germany,DE,Brandenburg
48.35,10.9833,Germany,DE,Bayern
50.8683,9.7067,Germany,DE,Hessen
48.8039,8.3194,Germany,DE,Baden-Wüttemberg
49.4471,6.6312,Germany,DE,Saarland
48.7333,11.1833,Germany,DE,Bayern
51.6667,7.6167,Germany,DE,Nordrhein-Westfalen
48.9328,8.9564,Germany,DE,Baden-Wüttemberg
51.8,8.4333,Germany,DE,Nordrhein-Westfalen
50.6506,11.3542,Germany,DE,Thüringen
49.0364,8.7061,Germany,DE,Baden-Wüttemberg
