;;;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr
;;;2009/10;2009/10;2009/10;2010/11;2010/11;2010/11;2011/12;2011/12;2011/12;2012/13;2012/13;2012/13;2013/14;2013/14;2013/14;2014/15;2014/15;2014/15;2015/16;2015/16;2015/16;2016/17;2016/17;2016/17;2017/18;2017/18;2017/18;2018/19;2018/19;2018/19;2019/20;2019/20;2019/20;2020/21;2020/21;2020/21
;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
Baden-Württemberg;Insgesamt;Allgemeine Hochschulreife;15258;18751;34009;15835;19539;35374;27498;32040;59538;15795;18013;33808;15324;18207;33531;16348;18780;35128;15935;18696;34631;15870;18083;33953;15315;17794;33109;14405;17448;31853;13414;16129;29543;12939;15506;28445
Baden-Württemberg;Insgesamt;Insgesamt;62399;60317;122716;61576;60069;121645;69912;69916;139828;62169;58676;120845;61468;58128;119596;62364;58372;120736;61539;57567;119106;58726;54489;113215;56861;51644;108505;54974;51406;106380;53781;49879;103660;51576;48120;99696
Bayern;Hauptschulen;Ohne Hauptschulabschluss;1776;930;2706;1463;826;2289;1519;883;2402;1392;743;2135;1483;823;2306;1783;839;2622;2425;1002;3427;2490;1135;3625;2212;1137;3349;2199;1148;3347;1593;931;2524;1672;901;2573
Bayern;Hauptschulen;Hauptschulabschluss;18121;13366;31487;17486;12775;30261;17278;12325;29603;15378;10987;26365;14917;10361;25278;14714;9988;24702;14391;9900;24291;13817;9284;23101;13695;9008;22703;13080;9079;22159;12566;8342;20908;11919;7978;19897
Bayern;Hauptschulen;Mittlerer Schulabschluss;5952;5729;11681;6081;5906;11987;6047;6014;12061;6853;6767;13620;7370;6890;14260;7702;7072;14774;7680;6937;14617;7711;7018;14729;7642;7142;14784;7291;6920;14211;7036;6817;13853;6982;6785;13767
Bayern;Hauptschulen;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Hauptschulen;Allgemeine Hochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Hauptschulen;Insgesamt;25849;20025;45874;25030;19507;44537;24844;19222;44066;23623;18497;42120;23770;18074;41844;24199;17899;42098;24496;17839;42335;24018;17437;41455;23549;17287;40836;22570;17147;39717;21195;16090;37285;20573;15664;36237
Bayern;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Schularten mit mehreren Bildungsgängen;Hauptschulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Schularten mit mehreren Bildungsgängen;Mittlerer Schulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Schularten mit mehreren Bildungsgängen;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Schularten mit mehreren Bildungsgängen;Allgemeine Hochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Schularten mit mehreren Bildungsgängen;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Realschulen;Ohne Hauptschulabschluss;256;175;431;307;190;497;304;170;474;272;171;443;259;169;428;297;165;462;286;179;465;502;163;665;485;172;657;359;145;504;195;99;294;228;118;346
Bayern;Realschulen;Hauptschulabschluss;1207;796;2003;1128;689;1817;1109;756;1865;1088;783;1871;1100;775;1875;961;585;1546;1000;634;1634;955;595;1550;1229;627;1856;1110;627;1737;748;475;1223;732;545;1277
Bayern;Realschulen;Mittlerer Schulabschluss;20487;23227;43714;20721;22937;43658;20719;22725;43444;20905;22825;43730;20755;22753;43508;20558;22358;42916;21961;24074;46035;21377;22256;43633;20233;21192;41425;19587;20985;40572;18926;20152;39078;19197;19864;39061
Bayern;Realschulen;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Realschulen;Allgemeine Hochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Realschulen;Insgesamt;21950;24198;46148;22156;23816;45972;22132;23651;45783;22265;23779;46044;22114;23697;45811;21816;23108;44924;23247;24887;48134;22834;23014;45848;21947;21991;43938;21056;21757;42813;19869;20726;40595;20157;20527;40684
Bayern;Gymnasien (G9);Ohne Hauptschulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;1;1;2;2;4
