Unnamed: 0,Unnamed: 1,Abschluss,Schuljahr,Schuljahr.1,Schuljahr.2,Schuljahr.3,Schuljahr.4,Schuljahr.5,Schuljahr.6,Schuljahr.7,Schuljahr.8,Schuljahr.9,Schuljahr.10,Schuljahr.11,Schuljahr.12,Schuljahr.13,Schuljahr.14,Schuljahr.15,Schuljahr.16,Schuljahr.17,Schuljahr.18,Schuljahr.19,Schuljahr.20,Schuljahr.21,Schuljahr.22,Schuljahr.23,Schuljahr.24,Schuljahr.25,Schuljahr.26,Schuljahr.27,Schuljahr.28,Schuljahr.29,Schuljahr.30,Schuljahr.31,Schuljahr.32,Schuljahr.33,Schuljahr.34,Schuljahr.35
Rheinland-Pfalz,Gymnasien (G8),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,1,7,1,8,2,-,2,2,1,3,-,1,1,1,-,1
Rheinland-Pfalz,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,42,24,66,65,51,116,73,45,118,78,44,122,99,78,177,112,78,190,131,97,228,149,86,235,179,103,282,247,138,385,180,117,297,206,140,346
Rheinland-Pfalz,Freie Waldorfschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,2,2,4,1,2,3,-,-,-,-,-,-
Rheinland-Pfalz,Förderschulen,Ohne Hauptschulabschluss,956,523,1479,879,575,1454,856,540,1396,879,529,1408,873,502,1375,996,577,1573,863,519,1382,931,564,1495,899,521,1420,941,468,1409,901,517,1418,789,438,1227
Rheinland-Pfalz,Insgesamt,Ohne Hauptschulabschluss,1629,936,2565,1501,968,2469,1448,905,2353,1494,852,2346,1466,891,2357,1642,964,2606,1607,918,2525,1716,1069,2785,1811,1000,2811,1951,1007,2958,1550,910,2460,1730,1030,2760
Saarland,Hauptschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saarland,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,96,78,174,98,60,158,73,43,116,69,59,128,83,46,129,64,34,98,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
Saarland,Realschulen,Ohne Hauptschulabschluss,-,-,-,2,3,5,1,2,3,-,-,-,-,-,-,-,-,-,1,1,2,-,1,1,-,-,-,-,-,-,-,-,-,2,1,3
Saarland,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saarland,Gymnasien (G8),Ohne Hauptschulabschluss,1,-,1,1,-,1,4,2,6,3,2,5,13,13,26,-,-,-,-,5,5,15,2,17,6,9,15,4,2,6,3,1,4,12,12,24
