Bundesland;Schulform;Schulabschluss;09_10_m;09_10_w;09_10_ins;10_11_m;10_11_w;10_11_ins;11_12_m;11_12_w;11_12_ins;12_13_m;12_13_w;12_13_ins;13_14_m;13_14_w;13_14_ins;14_15_m;14_15_w;14_15_ins;15_16_m;15_16_w;15_16_ins;16_17_m;16_17_w;16_17_ins;17_18_m;17_18_w;17_18_ins;18_19_m;18_19_w;18_19_ins;19_20_m;19_20_w;19_20_ins;20_21_m;20_21_w;20_21_ins
Hamburg;Insgesamt;Fachhochschulreife;255;287;542;223;237;460;188;207;395;34;27;61;33;31;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hamburg;Insgesamt;Allgemeine Hochschulreife;5501;6675;12176;3309;4036;7345;3517;4266;7783;3845;4350;8195;3963;4551;8514;4240;4847;9087;4367;5053;9420;4238;4800;9038;4227;4805;9032;4261;4594;8855;4004;4856;8860;4142;4959;9101
Hamburg;Insgesamt;Insgesamt;10073;10560;20633;7261;7253;14514;7454;7580;15034;7122;7033;14155;7978;7611;15589;8401;8208;16609;8571;8373;16944;8815;8331;17146;8978;8277;17255;8685;7890;16575;8651;8160;16811;8332;8050;16382
Hessen;Insgesamt;Ohne Hauptschulabschluss;2356;1507;3863;1980;1390;3370;2027;1324;3351;1792;1237;3029;1853;1178;3031;1589;953;2542;1947;1270;3217;1870;1223;3093;1879;1132;3011;1902;1142;3044;1607;948;2555;1880;1272;3152
Hessen;Insgesamt;Hauptschulabschluss;8384;6087;14471;7554;5340;12894;7153;5208;12361;6921;4820;11741;6578;4699;11277;5730;4032;9762;6588;4686;11274;7164;4776;11940;6913;4472;11385;6453;4012;10465;6172;4162;10334;5915;3969;9884
Hessen;Insgesamt;Mittlerer Schulabschluss;14425;13971;28396;14075;13288;27363;13863;13308;27171;15582;15193;30775;15039;14729;29768;14254;13698;27952;14941;14434;29375;14282;13481;27763;13761;12958;26719;13995;13374;27369;14043;13265;27308;14231;13723;27954
Hessen;Insgesamt;Fachhochschulreife;583;680;1263;904;1055;1959;796;1029;1825;252;193;445;170;130;300;167;147;314;173;118;291;130;103;233;152;97;249;110;78;188;84;65;149;87;74;161
Hessen;Insgesamt;Allgemeine Hochschulreife;8833;11232;20065;8824;11560;20384;9657;12085;21742;12583;15821;28404;11509;14495;26004;9885;12212;22097;9450;11595;21045;9248;11490;20738;9068;11551;20619;8354;10617;18971;8591;10417;19008;6964;8878;15842
Hessen;Insgesamt;Insgesamt;34581;33477;68058;33337;32633;65970;33496;32954;66450;37130;37264;74394;35149;35231;70380;31625;31042;62667;33099;32103;65202;32694;31073;63767;31773;30210;61983;30814;29223;60037;30497;28857;59354;29077;27916;56993
Mecklenburg-Vorpommern;Insgesamt;Ohne Hauptschulabschluss;878;556;1434;820;525;1345;783;483;1266;726;429;1155;598;363;961;643;357;1000;735;440;1175;726;407;1133;802;392;1194;773;452;1225;571;348;919;686;389;1075
Mecklenburg-Vorpommern;Insgesamt;Hauptschulabschluss;898;599;1497;676;463;1139;764;557;1321;802;543;1345;898;563;1461;1024;668;1692;1010;701;1711;1090;659;1749;1166;731;1897;1103;693;1796;831;557;1388;1030;620;1650
Mecklenburg-Vorpommern;Insgesamt;Mittlerer Schulabschluss;1981;1942;3923;1942;1744;3686;2137;1927;4064;2439;2285;4724;2504;2452;4956;2637;2434;5071;2671;2527;5198;2815;2533;5348;2930;2648;5578;2892;2736;5628;3024;2732;5756;3253;2843;6096
Mecklenburg-Vorpommern;Insgesamt;Fachhochschulreife;154;174;328;136;158;294;181;200;381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mecklenburg-Vorpommern;Insgesamt;Allgemeine Hochschulreife;1703;1964;3667;1425;1668;3093;1511;1822;3333;1531;1798;3329;1604;2077;3681;1886;2362;4248;2032;2447;4479;2054;2529;4583;2117;2753;4870;2143;2565;4708;2174;2591;4765;2030;2492;4522
Mecklenburg-Vorpommern;Insgesamt;Insgesamt;5614;5235;10849;4999;4558;9557;5376;4989;10365;5498;5055;10553;5604;5455;11059;6190;5821;12011;6448;6115;12563;6685;6128;12813;7015;6524;13539;6911;6446;13357;6600;6228;12828;6999;6344;13343
Niedersachsen;Insgesamt;Ohne Hauptschulabschluss;3287;1931;5218;3090;1995;5085;2899;1874;4773;2656;1716;4372;2532;1713;4245;2662;1677;4339;2676;1615;4291;3042;1788;4830;3209;1884;5093;3413;2011;5424;2826;1786;4612;2861;1729;4590
Niedersachsen;Insgesamt;Hauptschulabschluss;8720;5742;14462;7534;5161;12695;7708;5162;12870;7147;4985;12132;7241;4786;12027;6828;4292;11120;6837;4496;11333;7200;4486;11686;7133;4383;11516;6893;4312;11205;6414;4152;10566;6283;4035;10318
Niedersachsen;Insgesamt;Mittlerer Schulabschluss;21394;19953;41347;21661;19677;41338;21616;19723;41339;22700;21468;44168;23011;21277;44288;21967;20471;42438;21373;19604;40977;20748;18435;39183;20003;17929;37932;19047;17416;36463;19285;17657;36942;18804;17123;35927
Niedersachsen;Insgesamt;Fachhochschulreife;619;727;1346;741;806;1547;855;924;1779;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;Insgesamt;Allgemeine Hochschulreife;10945;14028;24973;18351;23754;42105;12074;14602;26676;11666;14131;25797;12000;14745;26745;12346;15563;27909;12468;15096;27564;11978;14778;26756;11759;14769;26528;12105;14982;27087;2315;2893;5208;11201;14291;25492
Niedersachsen;Insgesamt;Insgesamt;44965;42381;87346;51377;51393;102770;45152;42285;87437;44169;42300;86469;44784;42521;87305;43803;42003;85806;43354;40811;84165;42968;39487;82455;42104;38965;81069;41458;38721;80179;30840;26488;57328;39149;37178;76327
Nordrhein-Westfalen;Insgesamt;Ohne Hauptschulabschluss;7141;4841;11982;6619;4583;11202;6294;4397;10691;6633;4557;11190;6925;4770;11695;6462;4592;11054;6453;4352;10805;6781;4368;11149;7102;4420;11522;7023;4398;11421;6030;3678;9708;6295;3830;10125
Nordrhein-Westfalen;Insgesamt;Hauptschulabschluss;22328;16357;38685;20903;15363;36266;20024;14743;34767;19762;14686;34448;19087;13751;32838;17922;12716;30638;17702;12066;29768;17196;11959;29155;17005;11282;28287;18006;12246;30249;15906;10575;26481;17040;11440;28475
Nordrhein-Westfalen;Insgesamt;Mittlerer Schulabschluss;44548;43194;87742;41854;40123;81977;41352;39762;81114;46781;44826;91607;44781;42593;87374;44119;41366;85485;42747;40084;82831;41853;39000;80853;38658;35698;74356;37914;35001;72915;36732;33570;70302;37650;34850;72500
Nordrhein-Westfalen;Insgesamt;Fachhochschulreife;3697;3928;7625;3415;3714;7129;3508;3674;7182;54;46;100;20;15;35;22;18;40;48;41;89;30;10;40;19;13;32;24;24;48;15;9;24;15;20;35
Nordrhein-Westfalen;Insgesamt;Allgemeine Hochschulreife;30743;39359;70102;32099;40314;72413;34718;42961;77679;52530;65365;117895;35711;43430;79141;36110;43779;79889;35838;43722;79560;34423;41615;76038;33888;41113;75001;33378;41145;74520;32892;40389;73278;32660;39800;72460
Nordrhein-Westfalen;Insgesamt;Insgesamt;108457;107679;216136;104890;104097;208987;105896;105537;211433;125760;129480;255240;106524;104559;211083;104635;102471;207106;102788;100265;203053;100283;96952;197235;96672;92526;189198;96345;92811;189156;91572;88221;179793;93660;89940;183600
Rheinland-Pfalz;Insgesamt;Ohne Hauptschulabschluss;1629;936;2565;1501;968;2469;1448;905;2353;1494;852;2346;1466;891;2357;1642;964;2606;1607;918;2525;1716;1069;2785;1811;1000;2811;1951;1007;2958;1550;910;2460;1730;1030;2760
Rheinland-Pfalz;Insgesamt;Hauptschulabschluss;5733;4001;9734;5433;3900;9333;5471;3494;8965;5299;3455;8754;5232;3312;8544;4930;3213;8143;4871;3191;8062;5111;3164;8275;4810;2889;7699;4521;2791;7312;3877;2450;6327;3890;2588;6478
Rheinland-Pfalz;Insgesamt;Mittlerer Schulabschluss;9061;9191;18252;9093;8957;18050;9056;9203;18259;9738;9629;19367;9645;9586;19231;9092;9039;18131;8482;8462;16944;8067;8004;16071;8461;8008;16469;7680;7600;15280;7461;7173;14634;7462;7482;14944
Rheinland-Pfalz;Insgesamt;Fachhochschulreife;303;410;713;365;420;785;424;487;911;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rheinland-Pfalz;Insgesamt;Allgemeine Hochschulreife;5878;7810;13688;5936;7832;13768;6113;7834;13947;6386;8006;14392;5998;7628;13626;6420;7793;14213;6987;8713;15700;6651;8379;15030;6591;8202;14793;6458;8277;14735;6276;7896;14172;6159;8098;14257
Rheinland-Pfalz;Insgesamt;Insgesamt;22604;22348;44952;22328;22077;44405;22512;21923;44435;22917;21942;44859;22341;21417;43758;22084;21009;43093;21947;21284;43231;21545;20616;42161;21673;20099;41772;20610;19675;40285;19164;18429;37593;19241;19198;38439
Saarland;Insgesamt;Ohne Hauptschulabschluss;343;223;566;299;188;487;327;200;527;295;214;509;297;192;489;281;157;438;434;228;662;399;211;610;426;230;656;423;214;637;303;243;546;336;213;549
Saarland;Insgesamt;Hauptschulabschluss;1618;1246;2864;1548;1171;2719;1618;1135;2753;1541;1133;2674;1438;1129;2567;1352;1020;2372;1291;982;2273;1384;1050;2434;1538;1047;2585;1357;1060;2417;1494;1038;2532;1411;974;2385
Saarland;Insgesamt;Mittlerer Schulabschluss;1703;1712;3415;1673;1709;3382;1673;1718;3391;1856;1950;3806;1676;1776;3452;1542;1613;3155;1658;1656;3314;1569;1521;3090;1421;1369;2790;1398;1388;2786;1327;1254;2581;1403;1329;2732
Saarland;Insgesamt;Fachhochschulreife;49;55;104;59;51;110;72;94;166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Saarland;Insgesamt;Allgemeine Hochschulreife;1363;1715;3078;1376;1710;3086;1460;1670;3130;1413;1735;3148;1408;1804;3212;1590;1889;3479;1543;1760;3303;1396;1686;3082;1426;1804;3230;1320;1696;3016;1399;1696;3095;1501;1823;3324
Saarland;Insgesamt;Insgesamt;5076;4951;10027;4955;4829;9784;5150;4817;9967;5105;5032;10137;4819;4901;9720;4765;4679;9444;4926;4626;9552;4748;4468;9216;4811;4450;9261;4498;4358;8856;4523;4231;8754;4651;4339;8990
Sachsen;Insgesamt;Ohne Hauptschulabschluss;1412;929;2341;1396;863;2259;1362;926;2288;1567;1032;2599;1437;911;2348;1412;942;2354;1570;963;2533;1579;987;2566;1660;977;2637;1674;1034;2708;1518;937;2455;1647;1146;2793
Sachsen;Insgesamt;Hauptschulabschluss;1533;1006;2539;1734;1089;2823;1630;1082;2712;1780;1168;2948;1852;1216;3068;1671;1129;2800;1728;1070;2798;1821;1137;2958;1874;1050;2924;1970;1154;3124;1845;1069;2914;1804;1060;2864
Sachsen;Insgesamt;Mittlerer Schulabschluss;6139;5913;12052;5759;5433;11192;5959;5936;11895;6645;6516;13161;7472;6800;14272;7375;7018;14393;8107;7564;15671;8222;7384;15606;7746;7312;15058;7999;7495;15494;8184;7855;16039;8414;7929;16343
Sachsen;Insgesamt;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sachsen;Insgesamt;Allgemeine Hochschulreife;3287;3937;7224;3020;3654;6674;3122;3697;6819;3389;3960;7349;3738;4463;8201;4299;5018;9317;4373;5245;9618;4754;5578;10332;4537;5582;10119;4819;5581;10400;4589;5576;10165;4598;5586;10184
Sachsen;Insgesamt;Insgesamt;12371;11785;24156;11909;11039;22948;12073;11641;23714;13381;12676;26057;14499;13390;27889;14757;14107;28864;15778;14842;30620;16376;15086;31462;15817;14921;30738;16462;15264;31726;16136;15437;31573;16463;15721;32184
Sachsen-Anhalt;Insgesamt;Ohne Hauptschulabschluss;1101;743;1844;1063;675;1738;1016;652;1668;894;585;1479;946;582;1528;1073;662;1735;1078;585;1663;1102;647;1749;1257;747;2004;1308;687;1995;1110;663;1773;1038;633;1671
Sachsen-Anhalt;Insgesamt;Hauptschulabschluss;1709;1121;2830;1457;970;2427;1337;856;2193;1027;686;1713;1152;776;1928;1182;778;1960;1282;828;2110;1179;758;1937;1281;741;2022;1365;807;2172;1284;777;2064;1437;867;2304
Sachsen-Anhalt;Insgesamt;Mittlerer Schulabschluss;3223;3173;6396;3253;2919;6172;3613;3383;6996;3923;3587;7510;4150;3880;8030;4299;3980;8279;4604;4124;8728;4588;4145;8733;4518;4053;8571;4605;4107;8712;4734;4125;8859;4485;4305;8787
Sachsen-Anhalt;Insgesamt;Fachhochschulreife;213;240;453;180;186;366;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sachsen-Anhalt;Insgesamt;Allgemeine Hochschulreife;1836;2397;4233;1722;2202;3924;1764;2317;4081;1755;2137;3892;1877;2379;4256;2180;2715;4895;2327;2820;5147;2303;2853;5156;2505;2985;5490;2343;2907;5247;2403;2901;5304;2133;2874;5007
Sachsen-Anhalt;Insgesamt;Insgesamt;8082;7674;15756;7675;6952;14627;7730;7208;14938;7599;6995;14594;8125;7617;15742;8734;8135;16869;9291;8357;17648;9172;8403;17575;9561;8529;18090;9621;8508;18129;9534;8463;17997;9090;8679;17769
